FILE_NAME,COLOR1,COLOR2,COLOR3,COLOR4,COLOR5
2414902116436-1.png,#000000,#d3cec9,#b1aba8,#383639,#63646b
2414903787604-1.png,#000000,#3f78a6,#4f93c0,#30547c,#b3c2cf
2414904377428-1.png,#000000,#333332,#797876,#272724,#cccbca
2417432952915-1.jpg,#d4a584,#000000,#272223,#93604a,#bb8265
2420865531987-1.jpg,#b48368,#d3a588,#845a47,#010000,#e9e0db
2422792650812-1.jpg,#deae8d,#000000,#cd936d,#5e2320,#9b6950
2432147062844-1.jpg,#c4936b,#000000,#916743,#5e3925,#efe1c4
2432147292220-1.jpg,#f0e6e4,#2d2e34,#000000,#d4b6b2,#49484e
2433704689724-1.jpg,#9b7a6d,#06b0b4,#000000,#e1baaa,#28313f
2454373040212-1.png,#393939,#000000,#555555,#868685,#e8e8e8
2455778983996-1.jpg,#010001,#e9c4ad,#945055,#482a2b,#d19a7f
2455779213372-1.jpg,#000000,#dba896,#964e57,#e9c3b3,#c28578
2458489651260-1.png,#e0dee3,#000000,#575254,#1f1c1c,#9b9599
2481518116947-1.jpg,#000000,#8d8353,#bb9e75,#383636,#55634a
2487892181075-1.jpg,#f4dacd,#e0a27e,#000000,#ba7f64,#6d4b3f
2487897489491-1.jpg,#000000,#e2a27d,#bd7d62,#754b3d,#f2d7d3
2499088285779-1.jpg,#caa187,#af7b61,#000000,#2e3132,#7a5848
2499373105235-1.jpg,#35312f,#1b1816,#504c4a,#000000,#706d6c
2500268654675-1.jpg,#7993a6,#000000,#445d70,#607b8f,#9cadb9
2500398415955-1.jpg,#272626,#131212,#464545,#000000,#c8c8c9
2501352849491-1.jpg,#333338,#000000,#515155,#1a1a1f,#818082
2501466783827-1.jpg,#f0c3a2,#000000,#d6a07b,#936d57,#372c2d
2501563973715-1.jpg,#eabb99,#000000,#bf8b6b,#6b4f3e,#f6f1ed
2501615157331-1.jpg,#000000,#dfa578,#a87a5c,#efc59e,#584032
2502114967635-1.jpg,#010000,#d2946d,#683724,#a96a49,#edd8ce
2504663367762-1.jpg,#482c2c,#000000,#4d9f73,#b07664,#de5816
2506809081939-1.jpg,#996a55,#f1bb89,#000000,#d6966e,#f6cbad
2508527042643-1.jpg,#000000,#dea680,#b7cdde,#e3674c,#694132
2513126785107-1.jpg,#000000,#e8b99c,#f2efef,#7a5440,#c28266
2518222209107-1.jpg,#222120,#292827,#737170,#000000,#fbfbfb
2529516552275-1.jpg,#131413,#b0c8a6,#5c6459,#000000,#1e1f1e
2529518321747-1.jpg,#171616,#000000,#8dad96,#a5c1db,#50595b
2530371207251-1.jpg,#2076af,#000000,#353c4c,#c5ecf9,#75c2e5
2530965258323-1.jpg,#010101,#d8d8d8,#ececec,#e39c55,#81807f
2532078059603-1.jpg,#000000,#dfa884,#ca8965,#583d37,#a56c51
2532369793084-1.jpg,#dad4cb,#c9c1b3,#000000,#a1958a,#5a4c3f
2534961872956-1.jpg,#ce845e,#a45e40,#000000,#ebc2ab,#533326
2534962167868-1.jpg,#010000,#f1b48a,#825e60,#432c28,#d58e65
2534962397244-1.jpg,#efab7d,#d08b63,#86615e,#000000,#482f2e
2535276576851-1.jpg,#362723,#000000,#9c584a,#d78e66,#d9d3d3
2544383754323-1.jpg,#e3b391,#000000,#5e799b,#2e2a2c,#a27658
2544444833875-1.jpg,#e4ad8b,#000000,#ae8066,#edced0,#6c4e3e
2544454369363-1.jpg,#e3ad8c,#f1dfe9,#000000,#be896a,#755543
2544572760147-1.jpg,#000000,#dcdcdc,#88827d,#b9b8b7,#5b5653
2544624205907-1.jpg,#5b5652,#000000,#dbdbda,#b7b6b6,#88827d
2547630604348-1.jpg,#010000,#dfb295,#af866a,#ede2d5,#665041
2547723796540-1.jpg,#000000,#ac8281,#dfdcdd,#3d5c5e,#8d6a69
2551951753300-1.png,#000000,#be806f,#2b2a34,#e4ab95,#885950
2551952179284-1.png,#815242,#000000,#e8b399,#1d1b1f,#bc7e65
2552627101779-1.jpg,#282725,#000000,#686765,#4a4947,#e6e6e6
2557870473299-1.jpg,#000000,#1f1c1e,#c4c9cb,#deab11,#be8b6f
